company,country,theme,description,website,theme_score,capability_score,role_score,geography_score,why_fit,problems_to_solve,suggested_role
RemotePass,UAE,Future of Work,"Borderless teams ke liye platform — hire, pay, compliance, benefits ek jagah; UAE se global employers serve karte hain.",https://www.remotepass.com,96,92,94,92,"Tum remote work + complex systems samajhte ho — yahan product, ops, aur employer journey ek saath solve hoti hai; Multipotentialite yahan asset hai: CX, partnerships, AI ops — ek narrow role nahi; MENA + global scale pe future-of-work bets ban rahe hain — tum connective value laa sakte ho","Employer aur worker journey abhi bhi fragmented hai — ek coherent product story chahiye; Compliance + payroll + experience ko AI se smarter banao, bina trust lose kiye; Naye services: distributed talent ke liye onboarding, support, retention",Future of Work Entrepreneur in Residence
Alef Education,UAE,Education,"UAE-focused edtech — schools aur institutions ke liye digital learning, adaptive content, data-backed classrooms.",https://www.alefeducation.com,94,91,90,92,"Education + AI transformation tumhara core hai; Teacher mindset se tum tech ko classroom reality se jod sakte ho — slides nahi, adoption; Government + institutional scale UAE mein — tum systems soch ke product ko grounded rakh sakte ho","AI ko pedagogy ke saath jodo — teachers ke liye usable, na ki scary; Learning data se real student outcomes dikhao, dashboards nahi; Institutions ko change management chahiye — tum teach + facilitate kar sakte ho",AI & Learning Innovation Lead
Intellect,Singapore,Wellness & Mental Wellbeing,"Singapore HQ mental health platform — individuals, employers, insurers; app + coaching + clinical pathways.",https://intellect.co,95,91,92,90,Wellbeing + workplace + product — teenon tumhare themes se overlap; Trust-sensitive space mein tum AI ko grounded rakh sakte ho — hype nahi; APAC employer market grow kar raha hai — tum human insight + systems laa sakte ho,"One-off interventions se lasting behaviour change; Workplace wellbeing ko HR checkbox se strategic lever banao; AI personalization — empathy aur safety ke saath, clinician judgment respect karke",Wellbeing Innovation Entrepreneur in Residence
Cialfo,Singapore,Education,"Global higher-ed platform — students, counselors, universities; applications, guidance, pathways ek ecosystem.",https://www.cialfo.co,92,90,89,90,"Life transitions + education tumhe naturally attract karte hain; Counselors, students, unis — tum teen stakeholders ko ek narrative mein soch sakte ho; AI world mein guidance obsolete ho rahi hai — tum redefine kar sakte ho","Student journey ab bhi fragmented — self-discovery se employability tak connect karo; Counselors ko AI-era tools do, replace mat karo; Universities ko data-informed engagement chahiye — tum product + pedagogy bridge ho",Future of Education Product Strategy Lead
YourDOST,India,Wellness & Mental Wellbeing,"India ka emotional wellness platform — individuals, colleges, corporates; chat, counseling, preventive care.",https://yourdost.com,93,89,91,96,India scale + wellness + education overlap — tum dono samajhte ho; Preventive mental health abhi underbuilt hai — tum systems design kar sakte ho; Tum teacher + facilitator ho — sensitive topics mein product human reh sakta hai,"Reactive counseling se proactive wellbeing journeys; Educators aur workplaces ke liye tailored programs; AI reach badhaye — par human judgment, safety protocols strong rakho","Strategic Advisor, Wellbeing & Future of Work"
Graphy,India,Creator Economy,"India-born creator stack — courses, memberships, live classes, payments; educators apna business yahan chalate hain.",https://graphy.com,97,94,93,96,"Tum Graphy pe teacher ho — UI friction, creator pain firsthand pata hai; Creator + educator + entrepreneur teen lens tumhare paas hain — yeh rare combo hai; Course hosting market crowded hai — differentiation product feel aur community se aayegi, tum woh dekh sakte ho","Educator onboarding abhi heavy hai — first course se revenue tak journey smooth karo; AI se course creation + community depth — transactional courses se aage; Creator success metrics: retention, ARPU, learner outcomes — tum grounded feedback de sakte ho",Creator Education Founder in Residence
Lepaya,Netherlands,Future of Work,"Dutch company — leadership aur skills training, tech-enabled, enterprise clients; learning ko business outcomes se jodti hai.",https://www.lepaya.com,96,93,92,91,"Tum training ko event nahi, capability shift maante ho — Lepaya ka DNA match; AI workforce change — tum product + learning design se help kar sakte ho; Netherlands + EU enterprises ambiguity handle karte hain — tum multipotentialite connective strategist ban sakte ho",Corporate L&D abhi AI disruption ke beech hai — naya model chahiye; Learning ko observable business change se link karo — vanity metrics nahi; Leaders aur teams continuous adaptation — isolated workshops se nikal kar,AI Workforce Transformation Lead
TestGorilla,Netherlands,Future of Work,"Skills-based hiring platform — assessments, remote hiring, talent signals; job description se skills pe shift.",https://www.testgorilla.com,92,90,90,91,"Tum 'human potential' seriously lete ho — hiring sirf job fit nahi, capability discovery; Assessment + future of work + AI fairness — sensitive, systems-heavy; Product strategy yahan philosophy matter karti hai — tum woh depth laa sakte ho","Fluid skills ko measure karo — static job titles nahi; AI in hiring: fair, explainable, useful — bias traps avoid; Hiring insights ko internal mobility aur team design se connect karo",Future of Talent Strategic Advisor
Futurice,Finland,Future of Work,"Nordic digital consultancy — product, design, engineering, transformation; enterprise clients + internal ventures.",https://www.futurice.com,94,97,96,90,"Multipotentialite yahan survive karta hai — silos kam, ambiguous mandates zyada; Tum client work + methods + teaching combine kar sakte ho — sirf delivery nahi; AI transformation ab unka headline — tum ambition ko teachable, repeatable bana sakte ho","Clients ko innovation theater se durable capability chahiye; AI portfolios practical banao — strategy slides se production tak; Cross-sector ideas: education, work, wellbeing — internal incubation ke liye",Innovation Partner in Residence
HeiaHeia,Finland,Wellness & Mental Wellbeing,"Finnish workplace wellbeing — team challenges, habits, social motivation; employers ke liye engagement platform.",https://www.heiaheia.com,90,88,87,90,Behaviour change + community + workplace — tum teenon ko systems se jod sakte ho; Finland wellbeing culture strong hai — product ko global scale karna challenge; Tum motivation psychology samajhte ho — gamification se deeper engagement,"Activity tracking se lasting habits — streaks se identity shift; Managers aur teams ke liye meaningful experiences, na ki admin burden; AI coaching relevant ho — par agency aur psychological safety preserve karo",Workplace Wellbeing Product Strategy Lead
